Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
360	-54.9786	-100.3025	45.32392	0.0515291	0.315571	0.684429	0.948471	0.5096009	0.00153268	0.000901778	0.00282477	0.00423782	0.040082	0.00169484	0.00147439	0.00756328	0.00883908	0.00198824	0.0107945	0.0183298	0.00619261	0.0678629	0.00188714	0.0193218	0.00338072	0.00899319	0.020883	0.00747559	0.0147528	0.0101815	0.0512191	0.0217589	0.00626425	0.0224418	0.0114291	0.00303792	6.59542e-05	0.0112281	0.0127738	0.000101822	0.000233997	0.0219137	0.0107917	0.00313375	0.370475	0.399948	0.226443	0.300405	0.556258	0.832781	1.2008	1.79773	3.32884	0.8695804	0.00352782	0.00207565	0.00650188	0.00975435	0.0922581	0.00390106	0.00339365	0.0174087	0.0203452	0.00457641	0.0248462	0.0421903	0.0142538	0.156203	0.0043437	0.0444736	0.00778153	0.0207	0.0480671	0.0172068	0.0339571	0.0234352	0.117893	0.0500833	0.0144187	0.0516551	0.0263068	0.0069925	0.000151809	0.025844	0.029402	0.000234366	0.000538599	0.0504395	0.0248395	0.4344546
396	-57.25409	-97.90674	40.65265	0.344852	0.45897	0.541031	0.655147	8.016975	0.0101301	0.0233277	0.00073653	0.00170499	0.0142401	0.0131981	0.0023408	0.00285192	0.00342622	0.0025905	0.00997426	0.00439143	0.00129943	0.0438478	0.00668085	0.00967909	0.00150676	0.00142067	0.00377808	0.01885	0.0140608	0.00407504	0.0330939	0.0115275	0.00424935	0.0126898	0.0050319	0.00232994	0.00220281	0.0119222	0.0164914	0.00108317	0.00211005	0.00525761	0.00580638	0.211104	0.651101	0.0838429	0.0539517	0.168206	0.419219	0.762445	1.31157	2.38539	5.94509	1.288918	0.0328997	0.0757621	0.00239205	0.00553734	0.0462481	0.0428638	0.00760228	0.00926228	0.0111274	0.00841324	0.0323937	0.0142622	0.0042202	0.142406	0.0216976	0.0314351	0.00489356	0.00461395	0.0122702	0.0612198	0.0456657	0.0132346	0.10748	0.0374384	0.0138008	0.0412132	0.0163423	0.00756701	0.00715414	0.0387203	0.0535595	0.00351784	0.00685287	0.0170753	0.0188576	0.3079072
432	-55.4989	-99.51776	44.01886	0.126805	0.376048	0.623951	0.873195	1.014899	0.0331842	0.00646678	0.00660867	0.0127774	0.00992662	0.0460839	0.0477242	0.00172274	0.0161949	0.0429214	0.0840758	0.00187536	0.0442841	0.0659096	0.00826103	0.0458584	0.00512847	0.0158778	0.030251	0.0811567	0.109118	0.0225213	0.111456	0.0170465	0.0751982	0.180503	0.0228178	0.0137933	0.073446	0.00241953	0.0720054	0.0184526	0.0278305	0.0121762	0.011881	0.0834048	0.565708	0.212154	0.138733	0.280629	0.538087	0.824197	1.2133	1.85843	3.56342	0.9188193	0.0240997	0.00469644	0.00479948	0.00927947	0.00720911	0.033468	0.0346592	0.00125113	0.0117614	0.0311712	0.0610593	0.00136196	0.0321609	0.0478662	0.00599949	0.0333043	0.0037245	0.0115311	0.0219695	0.0589393	0.0792462	0.0163559	0.0809436	0.0123799	0.054612	0.131088	0.0165712	0.0100173	0.0533394	0.00175716	0.0522933	0.013401	0.0202116	0.00884288	0.00862848	1.376954
468	-51.39875	-94.9344	43.53565	0.214999	0.416921	0.583079	0.785002	2.08639	0.00133249	0.0151746	0.0252404	0.00168385	0.00265349	0.0039878	0.000678763	0.00807109	0.00200201	0.00771167	0.00576114	0.000850565	0.0115925	0.0141624	0.0014283	0.0161767	0.000478257	0.00136961	0.00909201	0.0119699	0.0136284	0.00540478	0.00947472	0.00487556	0.0224466	0.0191115	0.0039451	0.00230984	0.00956883	0.00923902	0.00683172	0.00233789	0.0022045	0.0272271	0.00893276	0.229569	0.143766	0.490017	0.136649	0.218378	0.476135	0.793337	1.2605	2.10024	4.57922	1.10017	0.00461139	0.0525154	0.0873503	0.00582737	0.00918302	0.0138007	0.00234902	0.0279319	0.00692842	0.0266881	0.0199378	0.00294358	0.0401187	0.0490122	0.00494296	0.0559832	0.00165512	0.00473986	0.0314651	0.0414248	0.0471643	0.0187045	0.0327895	0.016873	0.0776818	0.0661398	0.013653	0.00799375	0.0331152	0.0319738	0.0236428	0.00809083	0.0076292	0.0942257	0.0309139	0.2889558
504	-50.34981	-92.61895	42.26914	0.321515	0.45223	0.547771	0.678484	5.963003	0.00901991	0.0237488	0.0208528	0.00748986	0.0124201	0.0404439	0.00305644	0.00580466	0.000804029	0.0215425	0.0211424	0.0224431	0.0262396	0.0384937	0.00682291	0.0204549	0.00279295	0.0237204	0.0190336	0.00828638	0.0315058	0.00471777	0.0490883	0.030971	0.0112006	0.0430279	0.0212705	0.00388229	0.0128334	0.0247501	0.0225585	0.0304212	0.00952843	0.0254939	0.0154795	0.20377	0.0104081	0.607237	0.178584	0.547414	0.745377	0.912397	1.09601	1.3416	1.82677	0.4356846	0.0134356	0.0353752	0.0310613	0.0111565	0.0185005	0.0602434	0.00455273	0.00864635	0.00119764	0.0320886	0.0314927	0.0334302	0.0390853	0.0573385	0.0101631	0.0304687	0.00416025	0.0353327	0.0283516	0.012343	0.0469296	0.00702737	0.0731196	0.0461329	0.0166838	0.0640923	0.0316836	0.00578287	0.0191161	0.0368666	0.0336021	0.045314	0.0141931	0.0379745	0.0230575	0.6713422
540	-61.15547	-104.5615	43.40602	0.248095	0.428942	0.571058	0.751905	2.791583	0.00170599	0.0860516	0.027645	0.00958106	0.0373772	0.0333563	0.0284522	0.0415046	0.00625615	0.00721246	0.0262997	0.0840949	0.017777	0.0192941	0.0368097	0.0229707	0.00962362	0.00560521	0.00349807	0.00930308	0.0629299	0.032766	0.0412819	0.0654086	0.00190173	0.0779573	0.020127	0.0139091	0.0500291	0.0189097	0.00635429	0.00145986	0.0239607	0.0163232	0.0285527	0.0199879	0.545265	0.24323	0.191517	0.438814	0.669174	0.882209	1.13352	1.49438	2.27887	0.5955771	0.00174742	0.0881414	0.0283164	0.00981375	0.038285	0.0341664	0.0291432	0.0425126	0.00640809	0.00738763	0.0269384	0.0861373	0.0182087	0.0197627	0.0377037	0.0235286	0.00985735	0.00574134	0.00358303	0.00952901	0.0644582	0.0335617	0.0422845	0.0669971	0.00194792	0.0798506	0.0206158	0.0142469	0.0512442	0.019369	0.00650861	0.00149531	0.0245426	0.0167196	0.0292461	0.9762895
576	-50.93557	-97.11963	46.18406	0.0348165	0.29255	0.70745	0.965183	0.4148172	0.0078001	0.0431318	0.0196616	0.00258773	0.00507081	0.0112693	0.00848268	0.0473791	0.0142475	0.0146632	0.022981	0.0988743	0.0156573	0.0367741	0.0190105	0.00944454	0.00730298	0.000438835	4.90875e-05	0.00105542	0.0476565	0.0130048	0.0321041	0.0552391	0.0183654	0.0739041	0.0195794	0.00267143	0.0146545	0.0043977	0.00793197	0.000587279	0.000683515	0.0135547	0.00682775	0.127525	0.132963	0.511235	0.228278	0.937126	0.968826	0.990168	1.00993	1.03218	1.06709	0.04695439	0.0111902	0.0618782	0.0282071	0.00371243	0.00727474	0.0161673	0.0121695	0.0679715	0.0204399	0.0210362	0.0329692	0.141848	0.0224625	0.0527572	0.027273	0.0135494	0.0104771	0.000629565	7.04223e-05	0.00151414	0.0683694	0.018657	0.0460575	0.0792476	0.0263476	0.106025	0.0280892	0.00383251	0.0210238	0.00630906	0.0113794	0.000842527	0.000980591	0.019446	0.00979529	0.6970442
612	-53.51339	-99.27835	45.76497	0.00433296	0.20102	0.79898	0.995667	0.2040245	0.00836068	0.0223729	0.0101986	0.00477622	0.011488	0.00157973	0.0205954	0.0197924	0.00724199	0.00167501	0.0002856	0.0363141	0.000111304	0.0160999	0.0034723	0.0226647	0.00206696	0.00114928	0.000458927	0.00369783	0.0131706	0.00215211	0.0343463	0.0359508	0.00187785	0.026449	0.001167	0.0114192	0.00979903	0.00392005	0.00411438	0.0031871	0.000487538	0.0117275	0.00707198	0.101186	0.0273215	0.776772	0.0947197	0.464054	0.687677	0.889748	1.12391	1.45417	2.15492	0.55514	0.0231442	0.0619331	0.0282321	0.0132216	0.0318015	0.00437305	0.0570128	0.0547897	0.0200474	0.0046368	0.000790605	0.100526	0.000308114	0.0445681	0.00961211	0.062741	0.00572181	0.00318146	0.00127041	0.0102364	0.0364591	0.00595751	0.0950783	0.0995199	0.00519831	0.0732169	0.00323052	0.0316109	0.0271259	0.0108516	0.0113895	0.0088226	0.00134961	0.0324644	0.0195768	0.3612424
648	-54.76537	-98.42989	43.66452	0.240581	0.426317	0.573683	0.759418	2.608019	0.0013031	0.0140897	0.00476175	0.00737629	0.0234746	0.0100029	0.00664734	0.00123829	0.0248075	0.00689848	0.000243186	0.0141666	0.000500421	0.015836	0.00186544	0.00838252	0.0041137	0.0105426	0.00119122	0.00321926	0.0137435	0.00229536	0.0108095	0.0161685	0.000795181	0.0131881	0.00311105	0.00931662	0.0155306	0.00166826	0.00820969	0.00326589	0.000460481	0.0028028	0.0134689	0.199924	0.125886	0.657562	0.0166278	0.441963	0.671512	0.883169	1.13229	1.48918	2.26263	0.5904061	0.00473003	0.0511431	0.0172843	0.0267747	0.0852086	0.0363089	0.0241287	0.00449477	0.0900467	0.0250403	0.000882722	0.0514223	0.00181644	0.0574817	0.0067712	0.0304271	0.014932	0.038268	0.00432393	0.0116854	0.0498867	0.00833176	0.0392367	0.0586889	0.00288637	0.0478706	0.0112926	0.0338177	0.0563734	0.0060555	0.0297997	0.0118546	0.00167147	0.0101737	0.0488896	0.2754954
684	-57.11255	-100.2294	43.1168	0.299437	0.445604	0.554396	0.700563	4.640405	0.021753	0.0308067	0.0161284	0.00112491	0.0387002	0.00884104	0.0110281	0.00913169	0.0706976	0.0221809	0.00408384	0.027853	0.0095531	0.0350911	0.012962	0.0159877	0.0237142	0.0123896	0.0112895	0.0190589	0.0828721	0.00597064	0.0230505	0.0158815	0.050313	0.0746198	0.0120592	0.0133528	0.044371	0.010696	0.0134427	0.00751399	0.00466895	0.0630916	0.00320714	0.183992	0.38867	0.344582	0.0827562	0.94976	0.975174	0.992188	1.00787	1.02546	1.0529	0.03727147	0.026288	0.0372292	0.0194909	0.00135943	0.0467683	0.0106842	0.0133273	0.0110355	0.0854366	0.0268051	0.00493524	0.0336598	0.0115447	0.0424069	0.0156643	0.0193208	0.0286582	0.0149725	0.0136431	0.0230323	0.100149	0.0072154	0.0278561	0.0191924	0.0608023	0.0901765	0.0145733	0.0161366	0.0536214	0.0129259	0.0162452	0.00908051	0.00564233	0.0762449	0.00387577	0.8274863
