Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
0	-60.76819	-103.7406	42.97238	0.254484	0.431132	0.568869	0.745515	2.960931	4.55456e-05	0.00202175	0.00380787	0.00361084	0.00550345	0.0305163	0.0150282	0.0044988	0.0170916	0.00504499	0.0279631	0.00111747	0.00185662	0.0469079	0.0135906	0.00855761	0.00463941	0.00333619	0.00167675	0.0106012	0.00291029	0.00374123	0.0177423	0.006337	0.0193223	0.0150698	0.0136358	0.000524752	0.00196879	0.00192206	0.00718591	0.00428653	0.00162317	0.00334722	0.0160232	0.095334	0.42074	0.105518	0.378408	0.210775	0.467978	0.789072	1.26731	2.13685	4.74438	1.125791	0.000140984	0.0062582	0.011787	0.0111771	0.0170356	0.0944612	0.0465187	0.0139257	0.052906	0.0156165	0.0865578	0.00345905	0.00574704	0.1452	0.0420689	0.0264895	0.014361	0.0103269	0.00519028	0.0328152	0.00900862	0.0115807	0.05492	0.0196158	0.0598108	0.0466475	0.0422086	0.00162433	0.00609427	0.00594961	0.0222435	0.0132687	0.0050244	0.0103611	0.0495988	0.3230564
36	-49.51246	-95.53748	46.02503	0.0153347	0.250689	0.749311	0.984665	0.2964262	0.00144096	0.00257043	0.0089047	0.0110236	0.00126778	0.00410019	0.0160501	0.00216987	0.00269262	0.042553	0.00902776	0.00131663	0.0258926	0.0433511	0.00295666	0.0315989	0.0174188	0.0100659	0.0246329	0.0119318	0.00754043	0.0232999	0.00534564	0.000857972	0.000572027	0.0129203	0.00705693	0.00169047	0.0503157	0.0549029	0.0457145	0.0244146	0.030068	0.00899746	0.0135793	0.080627	0.172787	0.466718	0.279868	0.622768	0.793766	0.930478	1.07472	1.25982	1.60573	0.3424314	0.00258125	0.00460451	0.0159513	0.019747	0.00227102	0.00734483	0.028751	0.00388697	0.00482339	0.0762268	0.0161717	0.00235853	0.0463824	0.0776564	0.00529638	0.0566042	0.031203	0.0180314	0.0441259	0.0213739	0.0135074	0.0417379	0.00957584	0.00153692	0.00102469	0.0231445	0.0126413	0.00302819	0.0901323	0.0983496	0.08189	0.0437347	0.053862	0.0161175	0.0243251	0.5582424
72	-54.4431	-97.89673	43.45363	0.275793	0.438178	0.561822	0.724208	3.632732	0.00362351	0.0201434	0.0691921	0.00241284	0.0166115	0.00377168	0.00412021	0.00577389	0.0015222	0.0130872	0.00273492	0.00483066	0.0238796	0.0378032	0.00884509	0.00477014	0.0593474	0.0411366	0.0190995	0.00839705	0.0290341	0.0414285	0.0059952	0.00559231	0.00173888	0.0278005	0.00290039	0.00874855	0.0278678	0.0149549	0.037162	0.0238359	0.0017224	0.00541367	0.0127097	0.576713	0.167566	0.189437	0.0662831	0.633605	0.800472	0.932923	1.0719	1.24926	1.57827	0.3299579	0.0060593	0.0336842	0.115704	0.0040348	0.027778	0.00630708	0.00688989	0.00965521	0.00254544	0.0218846	0.00457339	0.00807793	0.0399319	0.0632152	0.0147909	0.00797672	0.099242	0.0687894	0.0319385	0.0140417	0.0485514	0.0692776	0.0100253	0.00935157	0.0029078	0.0464885	0.00485009	0.0146295	0.0466011	0.0250079	0.0621431	0.0398588	0.00288024	0.00905285	0.0212535	0.5980075
108	-51.0898	-96.55326	45.46347	0.132175	0.379098	0.620902	0.867825	1.060359	0.00331245	0.0527942	0.0205671	0.000223899	0.0137998	0.000790658	0.00388884	0.00240582	0.037232	0.00665967	0.00996099	0.0352549	0.00227634	0.0348397	0.0275593	0.00548284	0.0143071	0.00603052	0.0247634	0.00490441	0.0209701	0.0383522	0.00859837	0.0380584	0.0317024	0.0572902	0.0286741	0.0227502	0.00626724	0.0541923	0.0331565	0.0444408	0.00858597	0.000867491	0.00714536	0.215723	0.256857	0.281531	0.245889	0.868563	0.933583	0.978787	1.02167	1.07114	1.15133	0.1018917	0.0046779	0.074557	0.0290453	0.000316194	0.0194884	0.00111658	0.0054919	0.00339755	0.0525798	0.00940491	0.0140671	0.0497876	0.00321469	0.0492012	0.0389198	0.00774297	0.0202047	0.00851641	0.0349713	0.0069261	0.0296144	0.0541618	0.0121428	0.0537468	0.0447707	0.0809063	0.040494	0.0321282	0.00885071	0.0765314	0.0468242	0.0627601	0.0121253	0.00122509	0.0100908	0.7081057
144	-54.20103	-97.10466	42.90363	0.283774	0.440726	0.559273	0.716227	3.936405	0.00356505	0.0124313	0.0156068	0.0363681	0.0204913	0.024388	0.000832241	3.32768e-05	0.000487812	0.0205076	0.0113048	0.00375622	4.64382e-05	0.00555011	0.001595	0.00244331	0.0062561	0.00441832	0.00312844	0.00220338	0.0189816	0.0283567	0.0261758	0.0245883	0.00623059	0.00548511	0.0033982	0.00108331	0.00307681	0.0152929	0.0163971	0.049422	0.0203886	0.00546754	0.0110909	0.455192	0.421533	0.107921	0.0153533	0.368806	0.614789	0.859185	1.16389	1.62657	2.71145	0.7212499	0.00867726	0.0302576	0.0379868	0.0885194	0.0498755	0.0593601	0.00202566	8.09952e-05	0.00118733	0.0499153	0.0275157	0.00914257	0.00011303	0.0135089	0.00388221	0.00594697	0.0152273	0.0107541	0.00761458	0.00536298	0.0462009	0.0690198	0.0637113	0.0598474	0.0151651	0.0133507	0.00827116	0.00263676	0.0074889	0.0372228	0.0399102	0.120292	0.0496255	0.0133079	0.026995	0.4108492
180	-58.72144	-104.5704	45.84901	0.000395076	0.141697	0.858303	0.999605	0.1266432	0.0027112	0.00138683	0.0126341	4.91141e-06	0.0181586	0.0233924	0.000299552	0.0131216	0.0357141	0.0176119	0.0106442	0.00103751	0.0118662	0.0387237	0.0156829	0.0231509	0.0150308	0.00585859	0.0143828	0.000874414	0.0105764	0.0273723	0.028259	0.0104195	0.000577931	0.0156329	0.00249825	0.00131892	0.0174997	0.0112666	0.0295693	0.0242317	0.0425453	0.017493	0.0369845	0.159482	0.139071	0.525386	0.17606	0.606889	0.78383	0.926828	1.07895	1.27579	1.64775	0.3611074	0.00503443	0.0025752	0.0234602	9.11998e-06	0.0337187	0.0434374	0.000556237	0.0243654	0.0663174	0.0327036	0.0197652	0.00192655	0.0220343	0.071906	0.0291215	0.0429889	0.0279107	0.0108788	0.0267075	0.0016237	0.0196393	0.0508275	0.0524742	0.0193479	0.00107316	0.0290286	0.00463899	0.0024491	0.0324952	0.0209209	0.0549071	0.0449959	0.0790024	0.0324827	0.0686765	0.5385324
216	-49.7475	-95.39396	45.64646	0.00548475	0.209082	0.790918	0.994515	0.2167699	0.010858	0.068855	0.0178289	0.0513865	0.0250211	0.00749472	0.0374664	0.00700857	0.0160055	0.0130659	0.0208065	0.0132742	0.0326712	0.0851909	0.0108727	0.0155173	0.00737945	0.00226618	0.00582887	0.00188521	0.105567	0.0442204	0.0239264	0.0138553	0.0625539	0.0269251	0.112005	0.00634835	0.0269801	0.0524086	0.00999552	0.0618571	0.0135877	0.0148187	0.0173367	0.26614	0.35117	0.18254	0.200151	0.592687	0.77483	0.923495	1.08284	1.29061	1.68723	0.3782294	0.0104096	0.0660119	0.0170927	0.0492647	0.0239879	0.00718526	0.0359194	0.00671918	0.0153446	0.0125264	0.0199474	0.0127261	0.0313222	0.0816733	0.0104237	0.0148766	0.00707474	0.00217261	0.00558819	0.00180736	0.101208	0.0423945	0.0229385	0.0132832	0.059971	0.0258134	0.10738	0.00608622	0.025866	0.0502446	0.0095828	0.059303	0.0130266	0.0142069	0.0166209	1.043069
252	-55.42649	-99.6767	44.25021	0.171731	0.398945	0.601056	0.828269	1.45942	0.00325162	0.00586761	0.00153533	0.0138076	0.00567925	0.000641069	0.00593395	0.004752	0.0038448	0.00739026	0.00208288	0.00570625	0.0181065	0.0188607	0.00152982	0.020033	0.009194	0.00729234	0.00735197	0.00478824	0.00532783	0.00370136	0.0154669	0.00157998	0.000582729	0.0053115	0.0390359	0.000633055	0.00402974	0.0124764	0.0190346	0.0459733	0.0312283	0.00521861	0.0188632	0.029236	0.0890519	0.492681	0.389031	0.264424	0.522702	0.816772	1.22433	1.91313	3.78181	0.9618276	0.00913086	0.0164768	0.00431136	0.0387731	0.0159479	0.00180019	0.0166631	0.0133441	0.0107966	0.0207526	0.00584893	0.0160237	0.050845	0.0529628	0.00429588	0.0562548	0.0258177	0.0204776	0.0206451	0.0134458	0.0149611	0.0103938	0.0434327	0.00443675	0.00163636	0.0149152	0.109617	0.00177768	0.0113159	0.035035	0.0534511	0.129097	0.0876923	0.0146544	0.0529696	0.3561127
288	-50.23721	-94.91266	44.67544	0.180899	0.40302	0.59698	0.819101	1.572119	0.036996	0.0274158	0.0126429	0.00926954	0.0540279	0.00958162	0.00900005	0.0470983	0.00386555	0.0541141	0.0348703	0.0206177	0.0132949	0.103264	0.00491781	0.00922337	0.0204748	0.0752809	0.0355639	0.0225536	0.0719172	0.00978613	0.0535194	0.00341471	0.00173525	6.18616e-05	0.0116465	0.00289613	0.0439745	0.0688064	0.035785	0.131946	0.0306674	0.0279097	0.0353189	0.103557	0.237515	0.458134	0.200794	0.942371	0.971467	0.991009	1.00907	1.02937	1.06115	0.04291873	0.03264	0.0241878	0.0111543	0.0081781	0.0476664	0.00845344	0.00794034	0.0415527	0.0034104	0.0477424	0.0307646	0.01819	0.0117295	0.0911056	0.00433877	0.00813737	0.018064	0.066417	0.0313764	0.019898	0.0634494	0.00863387	0.0472178	0.00301265	0.00153094	5.45778e-05	0.0102752	0.00255513	0.0387967	0.0607048	0.0315716	0.11641	0.0270565	0.0246235	0.0311603	1.133458
324	-61.89349	-104.8062	42.91268	0.292677	0.443518	0.556482	0.707323	4.317097	0.0131499	0.0339501	0.0249666	0.0147212	0.0264298	0.00618971	0.00406186	0.00425967	0.0220437	0.000559987	0.00657464	0.0173954	0.0170111	0.0264977	0.00187656	0.0025585	0.00456441	0.00226771	0.00882856	0.00736434	0.0177218	0.000522759	0.000390432	0.0184439	0.00216386	0.000759723	0.018077	0.00453235	0.00875839	0.0273081	0.00650005	0.0180347	0.0066776	0.0158897	0.00736027	0.143657	0.209304	0.163507	0.483532	0.48765	0.704514	0.896488	1.11546	1.41942	2.05065	0.5192774	0.0330057	0.0852136	0.0626652	0.0369497	0.066338	0.0155359	0.0101951	0.0106916	0.0553288	0.00140555	0.0165021	0.0436618	0.0426972	0.0665083	0.0047101	0.00642174	0.0114565	0.00569188	0.0221594	0.0184842	0.0444812	0.00131211	0.000979969	0.0462934	0.00543121	0.00190688	0.0453726	0.011376	0.0219832	0.0685424	0.0163149	0.0452665	0.0167605	0.0398825	0.018474	0.3984121
